,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
509,INTD 350,001,Culture and Development,12/13/2019,9:00,TAKE,HOME,,AAA,ZZZ
510,INTD 397,001,Topics in Int'l Development,12/13/2019,14:00,GYM,main gym,38-41,AAA,ZZZ
511,INTG 201,061,Integrated Mgmt Essentials 1,12/9/2019,9:00,GYM,BLEACHERS,1-5,AAA,ZZZ
512,ISLA 200,001,Islamic Civilization,12/16/2019,9:00,TAKE,HOME,,AAA,ZZZ
513,ISLA 300,001,Special Topics 7,12/12/2019,14:00,TAKE,HOME,,AAA,ZZZ
514,ISLA 380,001,Islamic Philosophy & Theology,12/20/2019,14:00,TAKE,HOME,,AAA,ZZZ
515,ISLA 521D1,001,Introductory Arabic,12/10/2019,18:30,GYM,Fieldhouse,45-46,AAA,ZZZ
516,ISLA 521D1,002,Introductory Arabic,12/10/2019,18:30,GYM,Fieldhouse,45-46,AAA,ZZZ
517,ISLA 521D1,003,Introductory Arabic,12/10/2019,18:30,GYM,Fieldhouse,45-46,AAA,ZZZ
518,ISLA 522D1,001,Lower Intermediate Arabic,12/6/2019,9:00,GYM,Fieldhouse,30,AAA,ZZZ
519,ISLA 522D1,002,Lower Intermediate Arabic,12/6/2019,9:00,GYM,Fieldhouse,30,AAA,ZZZ
520,ISLA 523D1,001,Higher Intermediate Arabic,12/10/2019,14:00,ARTS,260,,AAA,ZZZ
521,ISLA 524,001,Advanced Arabic 1,12/11/2019,14:00,BURN,1B23,,AAA,ZZZ
522,ISLA 532D1,001,Introductory Turkish,12/6/2019,9:00,MOR,328,,AAA,ZZZ
523,ISLA 533D1,001,Lower Intermediate Turkish,12/18/2019,9:00,MOR,328,,AAA,ZZZ
524,ISLA 534D1,001,Higher Intermediate Turkish,12/11/2019,14:00,MOR,328,,AAA,ZZZ
525,ISLA 541D1,001,Introductory Persian,12/6/2019,14:00,ARTS,W-20,,AAA,ZZZ
526,ISLA 542D1,001,Lower Intermediate Persian,12/9/2019,14:00,ARTS,W-20,,AAA,ZZZ
527,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
528,ISLA 543,001,Upper Intermediate Persian 1,12/18/2019,9:00,ARTS,W-20,,AAA,ZZZ
529,ITAL 206,001,Beginners Italian Intensive,12/19/2019,14:00,GYM,305,1-5,AAA,ZZZ
530,ITAL 206,002,Beginners Italian Intensive,12/19/2019,14:00,GYM,305,1-5,AAA,ZZZ
531,ITAL 216,001,Intermediate Italian Intensive,12/16/2019,9:00,SH688,495,,AAA,ZZZ
532,LING 201,001,Introduction to Linguistics,12/17/2019,18:30,GYM,Fieldhouse,29-36,AAA,ZZZ
533,LING 260,001,Meaning in Language,12/12/2019,9:00,GYM,Fieldhouse,19-20,AAA,ZZZ
534,LING 330,001,Phonetics,12/16/2019,14:00,GYM,Fieldhouse,44-46,AAA,ZZZ
